Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain
SRR1565897,2-3 months old,RNA-Seq,50,785261650,PRJNA254994,SAMN03020604,543654584,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX692901,GSM1498874,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1498874,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1565898,2-3 months old,RNA-Seq,50,761740300,PRJNA254994,SAMN03020605,526552902,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX692902,GSM1498875,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1498875,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1565899,2-3 months old,RNA-Seq,50,732633600,PRJNA254994,SAMN03020606,505947122,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX692903,GSM1498876,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1498876,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1565900,2-3 months old,RNA-Seq,50,662130100,PRJNA254994,SAMN03020607,461348264,short term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX692904,GSM1498877,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1498877,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1565901,2-3 months old,RNA-Seq,50,844021800,PRJNA254994,SAMN03020608,584680086,short term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX692905,GSM1498878,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1498878,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1565902,2-3 months old,RNA-Seq,50,740210400,PRJNA254994,SAMN03020609,512353703,short term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX692906,GSM1498879,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1498879,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1565903,2-3 months old,RNA-Seq,50,803613350,PRJNA254994,SAMN03020610,555058886,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX692907,GSM1498880,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1498880,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1565904,2-3 months old,RNA-Seq,50,809040650,PRJNA254994,SAMN03020611,560650928,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX692908,GSM1498881,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1498881,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1565905,2-3 months old,RNA-Seq,50,715060500,PRJNA254994,SAMN03020612,498516976,multipotent progenitor,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX692909,GSM1498882,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1498882,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511676,2-3 months old,RNA-Seq,50,37349550,PRJNA254994,SAMN02907242,27793760,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649369,GSM1433164,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433164,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511677,2-3 months old,RNA-Seq,50,62469300,PRJNA254994,SAMN02907243,46010575,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649370,GSM1433165,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433165,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511678,2-3 months old,RNA-Seq,50,42698400,PRJNA254994,SAMN02907244,31623785,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649371,GSM1433166,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433166,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511679,2-3 months old,RNA-Seq,50,46832350,PRJNA254994,SAMN02907245,34758546,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649372,GSM1433167,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433167,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511680,2-3 months old,RNA-Seq,50,46029800,PRJNA254994,SAMN02907246,33969643,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649373,GSM1433168,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433168,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511681,2-3 months old,RNA-Seq,50,87572050,PRJNA254994,SAMN02907247,64044171,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649374,GSM1433169,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433169,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511682,2-3 months old,RNA-Seq,50,33042700,PRJNA254994,SAMN02907248,24566887,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649375,GSM1433170,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433170,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511683,2-3 months old,RNA-Seq,50,76831500,PRJNA254994,SAMN02907249,56583531,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649376,GSM1433171,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433171,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511684,2-3 months old,RNA-Seq,50,60077400,PRJNA254994,SAMN02907250,44498254,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649377,GSM1433172,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433172,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
